pclass,age,sibsp,parch,fare,adult_male,alone,has_deck,FamilySize,IsAlone,sex_male,embarked_Q,embarked_S,agegroup_Child,agegroup_Teen,agegroup_Young Adult,agegroup_Adult,agegroup_Middle Age,agegroup_Senior,faregroup_Low,faregroup_Medium,faregroup_High,faregroup_Very High
1,0.7546865482753166,-0.5336605789968177,-0.4999482559915824,0.3878632899161985,True,True,0,-0.6228923802892758,1,True,False,True,False,False,False,True,False,False,False,False,False,True
1,-0.6219620676161883,-0.5336605789968177,0.6916462069086001,1.4999396475737663,True,False,1,0.034699167923723226,0,True,False,True,False,False,True,False,False,False,False,False,False,True
3,-0.6219620676161883,-0.5336605789968177,-0.4999482559915824,-0.73258053585703,True,True,0,-0.6228923802892758,1,True,False,True,False,False,True,False,False,False,True,False,False,False
2,1.7690592126164255,0.47769129876056604,3.0748351327089654,-0.23053244891738986,False,False,0,2.0074738125627207,0,False,False,True,False,False,False,False,True,False,False,False,True,False
3,-0.3321413063758715,-0.5336605789968177,-0.4999482559915824,-0.7450663920890462,True,True,0,-0.6228923802892758,1,True,True,False,False,False,True,False,False,False,True,False,False,False
1,0.030134645174524483,-0.5336605789968177,-0.4999482559915824,1.7935979333471908,False,True,1,-0.6228923802892758,1,False,False,True,False,False,True,False,False,False,False,False,False,True
3,1.0445073095156334,-0.5336605789968177,-0.4999482559915824,-0.7110641892739025,True,True,0,-0.6228923802892758,1,True,False,True,False,False,False,True,False,False,True,False,False,False
3,-0.7668724482363468,-0.5336605789968177,-0.4999482559915824,-0.9636820361943246,True,True,0,-0.6228923802892758,1,True,False,True,False,False,True,False,False,False,True,False,False,False
1,2.583455551701716,0.47769129876056604,0.6916462069086001,1.2995188636605608,True,False,1,0.6922907161367223,0,True,False,True,False,False,False,False,False,True,False,False,False,True
3,-0.3321413063758715,-0.5336605789968177,-0.4999482559915824,-0.7333774375823309,True,True,0,-0.6228923802892758,1,True,False,False,False,False,True,False,False,False,True,False,False,False
2,-0.47705168699602996,1.4890431765179497,0.6916462069086001,-0.5971072425558572,True,False,0,1.3498822643497215,0,True,False,True,False,False,True,False,False,False,False,True,False,False
3,-0.3321413063758715,-0.5336605789968177,-0.4999482559915824,-0.48235339411251094,True,True,0,-0.6228923802892758,1,True,False,True,False,False,True,False,False,False,False,True,False,False
2,-0.47705168699602996,-0.5336605789968177,-0.4999482559915824,-0.5240568552009638,False,True,1,-0.6228923802892758,1,False,False,False,False,False,True,False,False,False,False,True,False,False
3,-0.3321413063758715,-0.5336605789968177,-0.4999482559915824,-0.714117916685256,True,True,0,-0.6228923802892758,1,True,True,False,False,False,True,False,False,False,True,False,False,False
3,-0.3321413063758715,-0.5336605789968177,-0.4999482559915824,0.8371819834961212,True,True,0,-0.6228923802892758,1,True,False,True,False,False,True,False,False,False,False,False,False,True
